色号,颜色名称,HEX
A1,A1,#faf5cd
A2,A2,#fcfed6
A3,A3,#fcff92
A4,A4,#f7ec5c
A5,A5,#f0d83a
A6,A6,#fda951
A7,A7,#fa8c4f
A8,A8,#fbda4d
A9,A9,#f79d5f
A10,A10,#f47e38
A11,A11,#fedb99
A12,A12,#fda276
A13,A13,#fec667
A14,A14,#f75842
A15,A15,#fbf65e
A16,A16,#feff97
A17,A17,#fde173
A18,A18,#fcbf80
A19,A19,#fd7e77
A20,A20,#f9d666
A21,A21,#fae393
A22,A22,#edf878
A23,A23,#e4c8ba
A24,A24,#f3f6a9
A25,A25,#fdf785
A26,A26,#ffc734
B1,B1,#dff13b
B2,B2,#64f343
B3,B3,#a1f586
B4,B4,#5fdf34
B5,B5,#39e158
B6,B6,#64e0a4
B7,B7,#3eae7c
B8,B8,#1d9b54
B9,B9,#2a5037
B10,B10,#9ad1ba
B11,B11,#627032
B12,B12,#1a6e3d
B13,B13,#c8e87d
B14,B14,#abe84f
B15,B15,#305335
B16,B16,#c0ed9c
B17,B17,#9eb33e
B18,B18,#e6ed4f
B19,B19,#26b78e
B20,B20,#cbeccf
B21,B21,#18616a
B22,B22,#0a4241
B23,B23,#343b1a
B24,B24,#e8faa6
B25,B25,#4e846d
B26,B26,#907c35
B27,B27,#d0e0af
B28,B28,#9ee5bb
B29,B29,#c6df5f
B30,B30,#e3fbb1
B31,B31,#b4e691
B32,B32,#92ad60
C1,C1,#f0fee4
C2,C2,#abf8fe
C3,C3,#a2e0f7
C4,C4,#44cdfb
C5,C5,#06aadf
C6,C6,#54a7e9
C7,C7,#3977ca
C8,C8,#0f52bd
C9,C9,#3349c3
C10,C10,#3cbce3
C11,C11,#2aded3
C12,C12,#1e334e
C13,C13,#cde7fe
C14,C14,#d5fcf7
C15,C15,#21c5c4
C16,C16,#1858a2
C17,C17,#02d1f3
C18,C18,#213244
C19,C19,#18869d
C20,C20,#1a70a9
C21,C21,#bcddfc
C22,C22,#6bb1bb
C23,C23,#c8e2fd
C24,C24,#7ec5f9
C25,C25,#a9e8e0
C26,C26,#42adcf
C27,C27,#d0def9
C28,C28,#bdcee8
C29,C29,#364a89
D1,D1,#acb7ef
D2,D2,#868dd3
D3,D3,#3554af
D4,D4,#162d7b
D5,D5,#b34ec6
D6,D6,#b37bdc
D7,D7,#8758a9
D8,D8,#e3d2fe
D9,D9,#d5b9f4
D10,D10,#301a49
D11,D11,#beb9e2
D12,D12,#dc99ce
D13,D13,#b5038d
D14,D14,#862993
D15,D15,#2f1f8c
D16,D16,#e2e4f0
D17,D17,#c7d3f9
D18,D18,#9a64b8
D19,D19,#d8c2d9
D20,D20,#9a35ad
D21,D21,#940595
D22,D22,#38389a
D23,D23,#eadbf8
D24,D24,#768ae1
D25,D25,#4950c2
D26,D26,#d6c6eb
E1,E1,#f6d4cb
E2,E2,#fcc1dd
E3,E3,#f6bde8
E4,E4,#e8649e
E5,E5,#f0569f
E6,E6,#eb4172
E7,E7,#c53674
E8,E8,#fddbe9
E9,E9,#e376c7
E10,E10,#d13b95
E11,E11,#f7dad4
E12,E12,#f693bf
E13,E13,#b5026a
E14,E14,#fad4bf
E15,E15,#f5c9ca
E16,E16,#fbf4ec
E17,E17,#f7e3ec
E18,E18,#f9c8db
E19,E19,#f6bbd1
E20,E20,#d7c6ce
E21,E21,#c09da4
E22,E22,#b38c9f
E23,E23,#937d8a
E24,E24,#debee5
F1,F1,#fe9381
F2,F2,#f63d4b
F3,F3,#ee4e3e
F4,F4,#fb2a40
F5,F5,#e10328
F6,F6,#913635
F7,F7,#911932
F8,F8,#bb0126
F9,F9,#e0677a
F10,F10,#874628
F11,F11,#592323
F12,F12,#f3536b
F13,F13,#f45c45
F14,F14,#fcadb2
F15,F15,#d50527
F16,F16,#f8c0a9
F17,F17,#e89b7d
F18,F18,#d07f4a
F19,F19,#be454a
F20,F20,#c69495
F21,F21,#f2b8c6
F22,F22,#f7c3d0
F23,F23,#ed806c
F24,F24,#e09daf
F25,F25,#e84854
G1,G1,#ffe4d3
G2,G2,#fcc6ac
G3,G3,#f1c4a5
G4,G4,#dcb387
G5,G5,#e7b34e
G6,G6,#e3a014
G7,G7,#985c3a
G8,G8,#713d2f
G9,G9,#e4b685
G10,G10,#da8c42
G11,G11,#dac898
G12,G12,#fec993
G13,G13,#b2714b
G14,G14,#8b684c
G15,G15,#f6f8e3
G16,G16,#f2d8c1
G17,G17,#77544e
G18,G18,#ffe3d5
G19,G19,#dd7d41
G20,G20,#a5452f
G21,G21,#b38561
H1,H1,#ffffff
H2,H2,#fbfbfb
H3,H3,#b4b4b4
H4,H4,#878787
H5,H5,#464648
H6,H6,#2c2c2c
H7,H7,#010101
H8,H8,#e7d6dc
H9,H9,#efedee
H10,H10,#ebebeb
H11,H11,#cdcdcd
H12,H12,#fdf6ee
H13,H13,#f4edf1
H14,H14,#ced7d4
H15,H15,#9aa6a6
H16,H16,#1b1213
H17,H17,#f0eeef
H18,H18,#fcfff6
H19,H19,#f2eee5
H20,H20,#96a09f
H21,H21,#f8fbe6
H22,H22,#cacad2
H23,H23,#9b9c94
M1,M1,#bbc6b6
M2,M2,#909994
M3,M3,#697e81
M4,M4,#e0d4bc
M5,M5,#d1ccaf
M6,M6,#b0aa86
M7,M7,#b0a796
M8,M8,#ae8082
M9,M9,#a68862
M10,M10,#c4b3bb
M11,M11,#9d7693
M12,M12,#644b51
M13,M13,#c79266
M14,M14,#c27563
M15,M15,#747d7a